FR;EN;group;stage;type
le bréchet;the wishbone;;1.0;mot regulier
pression;draught;;1.0;mot regulier
chiant;annoying;;1.0;mot regulier
Les larmes sont un indice du pourcentage d'alcool.;Tears are a clue to the alcohol content.;;1.0;mot regulier
J'ai une équipe à laquelle je fais confiance.;I have a team on which I can rely (lit. trust).;;1.0;mot regulier
épargner;to save (money);;1.0;mot regulier
le faux filet;rib eye steak;;1.0;mot regulier
prendre la poudre d'escampette;to run away;;1.0;mot regulier
A travers l'épais feuillage ne pénètre guère un rayon de soleil.;Scarcely a single ray of sunlight can shine through the dense leaves.;;1.0;mot regulier
la chaîne de montagnes;the mountain range;;1.0;mot regulier
une prise de sang;the action of drawing blood / blood test (following drawing blood);;1.0;mot regulier
soustraire;to subtract;;1.0;mot regulier
Il y a des chevreuils dans la clairière.;There are deer in the clearing.;;1.0;mot regulier
gazouiller;to chirp;;1.0;mot regulier
Vous auriez trouvé un compromis ? (trouver);Would you have found a compromise?;;1.0;mot regulier
l'inventrice;the inventor (fem.);;1.0;mot regulier
Tu peux dormir chez moi, si tu veux.;You can stay at my place if you like.;;1.0;mot regulier
Tu dois aller au secrétariat pour t'inscrire.;You have to go to the office and register.;;1.0;mot regulier
la Turquie;Turkey;;1.0;mot regulier
Tu apprends l'espagnol depuis combien de temps ?;For how long have you been learning Spanish?;;1.0;mot regulier
l'oie;the goose;;1.0;mot regulier
dévorer;to devour;;1.0;mot regulier
rompre;to break up;;1.0;mot regulier
déposer;to file;;1.0;mot regulier
decoction;decoction;;1.0;mot regulier
le frac;the tailcoat;;1.0;mot regulier
l'eau plate;still water;;1.0;mot regulier
Pourquoi tu leur donnes des billets gratuits ?;Why are you giving them free tickets?;;1.0;mot regulier
L'énergie éolienne est écologique.;Wind energy is environmentally friendly.;;1.0;mot regulier
le grand-père;grandfather;;1.0;mot regulier
les parents;parents;;1.0;mot regulier
arriver à [faire];to manage/succeed in [doing];;1.0;mot regulier
la harpe;harp;;1.0;mot regulier
l'écureuil;the squirrel;;1.0;mot regulier
le veuf;the widower;;1.0;mot regulier
l'érable;the maple;;1.0;mot regulier
l'entracte;the intermission;;1.0;mot regulier
trente-et-un;thirty-one;;1.0;mot regulier
la chancelière;chancellor (f);;1.0;mot regulier
la défaite;defeat;;1.0;mot regulier
le kir royal;champagne + blackcurrant liqueur;;1.0;mot regulier
la promotrice immobilière;the property developer;;1.0;mot regulier
L'homme dont j'ai fait la connaissance est écrivain.;The man whom I got to know is a writer.;;1.0;mot regulier
le premier ministre;prime minister;;1.0;mot regulier
le canal;the channel;;1.0;mot regulier
l'astronome;the astronomer (masc.);;1.0;mot regulier
le pont;the deck;;1.0;mot regulier
un gardon;roach / small fry;;1.0;mot regulier
télécharger;to upload;;1.0;mot regulier
un chevalet;an easel;;1.0;mot regulier
je tiens à;I would like to;;1.0;mot regulier
mettre tous ses œufs dans le même panier;to put all one's eggs in one basket;;1.0;mot regulier
l'abonnement mensuel;the monthly ticket;;1.0;mot regulier
Beurk ! J'ai bu le pire vin de France ! (- -);Yuck! I drank the worst wine in France!;;1.0;mot regulier
un coquillage;a seashell;;1.0;mot regulier
le soutien;the support;;1.0;mot regulier
un chroniqueur;a columnist (m);;1.0;mot regulier
Pouvez-vous me dire combien ça coûte s'il vous plaît ?;Can you tell me how much it costs, please?;;1.0;mot regulier
perturber;to disturb;;1.0;mot regulier
Apporte ton bloc-notes.;Bring your notepad with you.;;1.0;mot regulier
le vestiaire;the cloakroom;;1.0;mot regulier
le mois;the month;;1.0;mot regulier
ausculter;to examine (a patient);;1.0;mot regulier
les sciences humaines;the humanities;;1.0;mot regulier
Pour aller à ... s'il-vous-plaît?;How do you get to ... please?;;1.0;mot regulier
des coquilles St Jacques;scallops;;1.0;mot regulier
frileux;sensitive to cold (m);;1.0;mot regulier
meubler;to furnish;;1.0;mot regulier
l'hippopotame;the hippopotamus;;1.0;mot regulier
perdre du temps;to waste time;;1.0;mot regulier
Quel temps fait-il ?;What's the weather like?;;1.0;mot regulier
une eau de seltz;a club soda;;1.0;mot regulier
Le sujet dont il parle n'est pas facile.;The subject which he speaks about isn't easy.;;1.0;mot regulier
Tu t'y connais en art contemporain ?;Are you familiar with contemporary art?;;1.0;mot regulier
l'étiquette;the etiquette;;1.0;mot regulier
corsé;full-bodied;;1.0;mot regulier
une frange;fringe/bangs;;1.0;mot regulier
Ma santé m'importe.;My health is important to me.;;1.0;mot regulier
une encreuse;an inker (f);;1.0;mot regulier
une revendication salariale;a pay claim;;1.0;mot regulier
redémarrer;to reboot;;1.0;mot regulier
Tu peux m'acheter du lait quand tu iras faire les courses ?;Can you buy me some milk when you go shopping?;;1.0;mot regulier
Sentimental ? Vous l'étiez vraiment ?;Sentimental? Were you really?;;1.0;mot regulier
Du 7 au 25, je serai en vacances.;I'll be on holiday from the 7th to the 25th.;;1.0;mot regulier
craquer pour [quelqu'un];to fall for [someone];;1.0;mot regulier
Qui est la fille dont Vincent est amoureux ?;Who is the girl with whom Vincent is in love?;;1.0;mot regulier
la gare routière;the bus station;;1.0;mot regulier
retirer;to take out, to remove;;1.0;mot regulier
Je peux utiliser ta lime à ongles ?;Can I use your nail file?;;1.0;mot regulier
Mes amies ? Je les ai toutes invitées.;My friends? I've invited them all.;;1.0;mot regulier
une guirlande;a garland / tinsel;;1.0;mot regulier
l'actif;the asset;;1.0;mot regulier
la cime des arbres;the treetop;;1.0;mot regulier
le neveu;nephew;;1.0;mot regulier
la piquette (fam.);plonk / bad wine;;1.0;mot regulier
conquérir;to conquer;;1.0;mot regulier
le linoléum;the lino;;1.0;mot regulier
Les sportifs de compétition s'entraînent tous les jours.;Top athletes train every day.;;1.0;mot regulier
As-tu déjà pêché à la ligne ?;Have you ever gone fishing?;;1.0;mot regulier
savourer;to enjoy / to savour;;1.0;mot regulier
un âne;a donkey;;1.0;mot regulier
le potager;vegetable garden;;1.0;mot regulier
galloise;Welsh (fem);;1.0;mot regulier
poursuivre quelqu'un en justice;to sue someone;;1.0;mot regulier
l'aventure;the affair;;1.0;mot regulier
s'habituer à [faire];To get used to [doing];;1.0;mot regulier
la tramontane;tramontane;;1.0;mot regulier
le pré;the meadow;;1.0;mot regulier
Je n'aime pas les histoires qui ont une fin ouverte.;I don't like stories that have an open ending.;;1.0;mot regulier
le saule pleureur;the weeping willow;;1.0;mot regulier
la balance;scale;;1.0;mot regulier
changer de vitesse;to change gears / [US : to shift gears ];;1.0;mot regulier
Je n'aime pas les poires mûres.;I don't like ripe pears.;;1.0;mot regulier
un brouillon;draft;;1.0;mot regulier
Toute la ville est dans l'ambiance de Noël.;There is a festive atmosphere across the whole city.;;1.0;mot regulier
barrer;to strikethrough;;1.0;mot regulier
le navire;the ship;;1.0;mot regulier
T'es-tu préparé pour l'entretien d'embauche ?;Have you prepared yourself for the job interview?;;1.0;mot regulier
prédire;to predict;;1.0;mot regulier
le gui;the mistletoe;;1.0;mot regulier
des boutons de manchette;cufflinks;;1.0;mot regulier
Je ne quitte jamais la maison sans maquillage.;I never leave the house without make-up.;;1.0;mot regulier
Ce soir sera décerné le prix de la meilleure mise en scène.;This evening, the prize will be awarded for the best Cinematography.;;1.0;mot regulier
tailler;to prune;;1.0;mot regulier
doubler;to overtake;;1.0;mot regulier
Le groupe Babbel vous remercie et vous dit à bientôt !;The Babbel-Band thanks you and see you soon!;;1.0;mot regulier
Comment êtes-vous devenu célèbre ?;How did you become famous?;;1.0;mot regulier
le marché aux puces;the flea market;;1.0;mot regulier
Je m'occupe des invitations. Je m'en occupe.;I'm taking care of the invitations. I'm taking care of them.;;1.0;mot regulier
Qui se charge des repas traiteur ?;Who is responsible for the catering?;;1.0;mot regulier
l'annulation;the cancellation;;1.0;mot regulier
une ordonnance;a prescription;;1.0;mot regulier
puisque;since (because);;1.0;mot regulier
le peigne;comb;;1.0;mot regulier
de nouveau;once again;;1.0;mot regulier
le bandage;the bandage;;1.0;mot regulier
l'ascenseur;the lift;;1.0;mot regulier
commettre un crime;to commit a crime;;1.0;mot regulier
un / une pigiste;a freelance journalist;;1.0;mot regulier
Un super film d'action, captivant jusqu'à la fin !;A fantastic action film, exciting right to the end!;;1.0;mot regulier
le projet communautaire;the community project;;1.0;mot regulier
la coulée de boue;the mudslide;;1.0;mot regulier
le bac à sable;the sandpit;;1.0;mot regulier
le trottoir;the pavement / sidewalk;;1.0;mot regulier
Ce chemisier s'assortit bien.;This blouse goes well with everything.;;1.0;mot regulier
les lèvres gercées;chapped lips;;1.0;mot regulier
trajectoire;path;;1.0;mot regulier
le coq;the rooster;;1.0;mot regulier
l'association caritative;the charity;;1.0;mot regulier
terne;dull;;1.0;mot regulier
diffuser;to broadcast;;1.0;mot regulier
Donne-moi le CD-ROM, s'il te plaît.;Give me the CD-ROM, please.;;1.0;mot regulier
apprivoisé;tame;;1.0;mot regulier
Tu l'énerves en étant tellement chaotique !;You annoy him by being so chaotic!;;1.0;mot regulier
Quand il fait beau, je profite du soleil dans le jardin.;When the weather is nice, I enjoy the sun in the garden.;;1.0;mot regulier
tourner;to shoot;;1.0;mot regulier
allemande (f);German;;1.0;mot regulier
Quelle couleur de vernis à ongles est à la mode en ce moment ?;What nail polish color is popular right now?;;1.0;mot regulier
l'aviron;rowing;;1.0;mot regulier
l'accusée;the defendant;;1.0;mot regulier
compatible;compatible;;1.0;mot regulier
la largeur;the width;;1.0;mot regulier
le relais de la flamme;the torch relay;;1.0;mot regulier
distribuer;to deliver;;1.0;mot regulier
tenir dans [quelque chose];to fit in [something];;1.0;mot regulier
le Mercredi des Cendres;Ash Wednesday;;1.0;mot regulier
le renard;the fox;;1.0;mot regulier
l'arrivée;the finish line;;1.0;mot regulier
un vers;a line (poetry);;1.0;mot regulier
Avant j'avais toujours une permanente.;In the past, I always had a perm.;;1.0;mot regulier
Arrête-toi, il y a un feu rouge.;Stop, the traffic lights are red.;;1.0;mot regulier
Dans un an, je terminerai mon doctorat.;I will complete my doctorate in one year.;;1.0;mot regulier
le beau-fils;step-son;;1.0;mot regulier
le réseau électrique;the power grid;;1.0;mot regulier
Son costume est élégant.;His suit is stylish.;;1.0;mot regulier
pétrir;to knead;;1.0;mot regulier
brasser;to brew;;1.0;mot regulier
l'avenue;the avenue;;1.0;mot regulier
une jonquille;daffodil;;1.0;mot regulier
l'ennui;boredom;;1.0;mot regulier
décaler;to postpone;;1.0;mot regulier
Je m'étais promené dans le parc. Puis, je suis allé dans un café. (promener);I (masc.) had gone for a walk in the park. Afterwards, I went to a café.;;1.0;mot regulier
la monnaie;the currency;;1.0;mot regulier
le refroidissement;the cold;;1.0;mot regulier
Le relais de la flamme olympique a été perturbé plusieurs fois par des manifestations.;The Olympic torch relay was hindered several times because of demonstrations.;;1.0;mot regulier
s'apprêter à [faire];To get ready to [do];;1.0;mot regulier
Nous nous levons quand il entre.;We get up when he comes in.;;1.0;mot regulier
l'accès de rage;the tantrum;;1.0;mot regulier
l'éraflure;the scratch;;1.0;mot regulier
la Tunisie;Tunisia;;1.0;mot regulier
sérieux;reputable;;1.0;mot regulier
l'agent d'entretien;the cleaner;;1.0;mot regulier
Les opéras dramatiques de Verdi me plaisent particulièrement.;I particularly like the dramatic operas by Verdi.;;1.0;mot regulier
le solstice d'été;the summer solstice;;1.0;mot regulier
débarrasser la table;to clear the table;;1.0;mot regulier
la poussette;the pram;;1.0;mot regulier
surmonter;to overcome;;1.0;mot regulier
le hautbois;Oboe;;1.0;mot regulier
le videur;the bouncer;;1.0;mot regulier
un questionnaire à choix multiple (QCM);a multiple choice test (MC);;1.0;mot regulier
des asperges;asparagus;;1.0;mot regulier
un balai volant;flying broomstick;;1.0;mot regulier
le soudeur;the welder (masc.);;1.0;mot regulier
dévier;to deviate;;1.0;mot regulier
le pâturage;the pasture;;1.0;mot regulier
Je ne vais jamais me débrouiller.;I will never manage.;;1.0;mot regulier
Chez ses parents ? Il y va tous les mois.;To his parents' house? He goes there every month.;;1.0;mot regulier
Comment ça se dit en portugais ?;How do you say that in Portuguese?;;1.0;mot regulier
bourgeonner;to bud;;1.0;mot regulier
le forfait de ski;the ski pass;;1.0;mot regulier
la semaine;the week;;1.0;mot regulier
le boxer;boxer shorts;;1.0;mot regulier
la laisse;the leash;;1.0;mot regulier
le compte à rebours;the countdown;;1.0;mot regulier
la nièce;niece;;1.0;mot regulier
l'accordeuse de piano;the piano tuner (fem.);;1.0;mot regulier
luxuriante;lush;;1.0;mot regulier
éloigné;distantly;;1.0;mot regulier
le carrefour;intersection;;1.0;mot regulier
Tes disques ? Je ne les ai pas.;Your records? I don't have them.;;1.0;mot regulier
d'occasion;second hand;;1.0;mot regulier
defiler;to scroll;;1.0;mot regulier
le stade;the stadium;;1.0;mot regulier
de tout mon cœur;with all my heart;;1.0;mot regulier
treize;thirteen;;1.0;mot regulier
le compte-rendu;the minutes;;1.0;mot regulier
Est-ce que tu savais que les écureuils hibernent ?;Did you know that squirrels hibernate?;;1.0;mot regulier
s'évanouir;to faint;;1.0;mot regulier
Combien ça coûte à peu près ?;How much is it approximately?;;1.0;mot regulier
de plus;moreover;;1.0;mot regulier
Ma meilleure amie se marie et je vais être son témoin.;My best friend is getting married and I will be the maid of honor!;;1.0;mot regulier
frotter;to scrub;;1.0;mot regulier
l'ampoule;the blister;;1.0;mot regulier
l'anguille;the eel;;1.0;mot regulier
embaumer;to be fragrant;;1.0;mot regulier
une fermeture éclair;a zip / zipper;;1.0;mot regulier
les feuilles mortes;fallen leaves;;1.0;mot regulier
le canard;duck;;1.0;mot regulier
saoul;drunk (m);;1.0;mot regulier
une terrasse;a terrace;;1.0;mot regulier
l'animalerie;the pet shop;;1.0;mot regulier
le juré;the jury;;1.0;mot regulier
Le livre dont tu parles m'intéresse.;The book of which you speak interests me.;;1.0;mot regulier
Je n'étais pas si petite !;I wasn't so small!;;1.0;mot regulier
défendu;prohibited;;1.0;mot regulier
Nous aurions trouvé une solution. (trouver);We would have found a solution.;;1.0;mot regulier
Tu viens faire du patin à glace avec moi ?;Are you coming ice-skating with me?;;1.0;mot regulier
le tabou;the taboo;;1.0;mot regulier
sacré;holy (m);;1.0;mot regulier
Les faux-cils donnent un air dramatique.;Fake eyelashes give you a dramatic look.;;1.0;mot regulier
Des billets de 10 euros ? Prenez ceux-ci !;10 euro notes (masc.)? Take these ones!;;1.0;mot regulier
le streaker;the streaker;;1.0;mot regulier
l'astéroïde;the asteroid;;1.0;mot regulier
manquer de [faire];To fail [to do];;1.0;mot regulier
le Sénat;Senate;;1.0;mot regulier
une livre Sterling;a pound (GB currency);;1.0;mot regulier
la clôture;the fence;;1.0;mot regulier
la boisson rafraîchissante;the soft drink;;1.0;mot regulier
gallois;Welsh (masc);;1.0;mot regulier
Peut-on rester calme en sachant que tout est en désordre ?;Can we stay calm when we know that everything's in a mess?;;1.0;mot regulier
le bord de mer;the seaside;;1.0;mot regulier
le scientifique;the scientist;;1.0;mot regulier
le bœuf;beef;;1.0;mot regulier
tromper;to cheat;;1.0;mot regulier
les forces armées;the armed forces;;1.0;mot regulier
le feu;the traffic light;;1.0;mot regulier
le râteau;the rake;;1.0;mot regulier
la République Tchèque;Czech Republic;;1.0;mot regulier
Tu m'appelles plus tard ?;Will you call me later?;;1.0;mot regulier
tricolore;three-coloured / French;;1.0;mot regulier
La France mène encore.;France is still in the lead.;;1.0;mot regulier
la grand-mère;grandmother;;1.0;mot regulier
Alors là, tu as vraiment fait une affaire !;You really found a bargain there!;;1.0;mot regulier
le lit de bébé;the cot;;1.0;mot regulier
Tu peux me graver le CD ?;Can you burn the CD for me?;;1.0;mot regulier
l'arthrite;the arthritis;;1.0;mot regulier
Ils se moquent de moi, je crois !;They're laughing at me, I think!;;1.0;mot regulier
le passage clouté;the pedestrian crossing;;1.0;mot regulier
le journal télé;TV news;;1.0;mot regulier
les chaussures;the shoes;;1.0;mot regulier
le bassin;the basin;;1.0;mot regulier
judiciaire;judiciary;;1.0;mot regulier
la caserne de pompiers;the fire station;;1.0;mot regulier
Je porte souvent des faux-cils quand je sors.;I often wear fake eyelashes when I go out.;;1.0;mot regulier
la vitesse;the gears;;1.0;mot regulier
maigre;lean;;1.0;mot regulier
la victime;the victim;;1.0;mot regulier
l'échange;sharing;;1.0;mot regulier
impasse;dead end;;1.0;mot regulier
le poulet;the chicken;;1.0;mot regulier
le beau-père;step-father;;1.0;mot regulier
le muesli;the muesli;;1.0;mot regulier
Je ne veux pas descendre là-bas.;I don't want to go down there.;;1.0;mot regulier
le papier toilette;the toilet paper;;1.0;mot regulier
le corset;the corset;;1.0;mot regulier
le car;the coach;;1.0;mot regulier
le ralentisseur;the speed bump;;1.0;mot regulier
le couloir;the corridor;;1.0;mot regulier
le haddock;haddock;;1.0;mot regulier
les moufles;mittens;;1.0;mot regulier
le père;father;;1.0;mot regulier
le Prince Charmant;Prince Charming;;1.0;mot regulier
archiver;to archive;;1.0;mot regulier
diviser;to divide;;1.0;mot regulier
céder;to give in;;1.0;mot regulier
décaféiné;decaffeinated;;1.0;mot regulier
jeter un sort;to cast a spell;;1.0;mot regulier
Je ne me réveille qu'en buvant un café très fort. (buvons);I only wake up by drinking a very strong coffee.;;1.0;mot regulier
le pari sportif;the football pool;;1.0;mot regulier
la gestion des déchets;the waste management;;1.0;mot regulier
sourd;deaf (m);;1.0;mot regulier
Dans quelle salle a lieu le cours ?;What room is the course in?;;1.0;mot regulier
l'accord;the agreement;;1.0;mot regulier
la science;science;;1.0;mot regulier
Lors de la rencontre au sommet, les hommes politiques les plus importants du monde se sont réunis.;The most important politicians in the world have gathered at the summit meeting.;;1.0;mot regulier
Les belles chaises sont à moi. (beau);The beautiful chairs belong to me.;;1.0;mot regulier
Tu me joues un morceau sur ton hautbois ?;Can you play me a piece of music on your oboe?;;1.0;mot regulier
l'appareil auditif;the hearing aid;;1.0;mot regulier
Il ne veut pas en parler. C'est embêtant !;He doesn't want to speak about it. It's annoying!;;1.0;mot regulier
Cette chanson est dédiée à notre bassiste, décédé, Paul Gray.;This song is dedicated to our deceased bassist Paul Gray.;;1.0;mot regulier
le maître nageur;lifeguard (m);;1.0;mot regulier
Là-dessus;right now;;1.0;mot regulier
le tir à l'arc;the archery;;1.0;mot regulier
une légende;a caption;;1.0;mot regulier
mardi;Tuesday;;1.0;mot regulier
l'insolvabilité;the bankruptcy (fem.);;1.0;mot regulier
Tu dois absolument désinfecter la plaie.;You really must disinfect the wound.;;1.0;mot regulier
un reportage;report;;1.0;mot regulier
La tisane de thym est bonne pour la toux.;Thyme tea is good for coughs.;;1.0;mot regulier
Ta fille est plus grande que la nôtre.;Your daughter is bigger than ours.;;1.0;mot regulier
Carole et toi, vous vous étiez maquillées avant de sortir ? (maquiller);Carole and you, had you put on make up before you went out?;;1.0;mot regulier
Quel scandale cette annonce immobilière, une vraie arnaque !;What a scandal this real estate listing (is), a real rip-off!;;1.0;mot regulier
un attaquant;a striker;;1.0;mot regulier
le parlement;the parliament;;1.0;mot regulier
le reçu;the receipt;;1.0;mot regulier
montrer;to point;;1.0;mot regulier
le champignon vénéneux;the toadstool;;1.0;mot regulier
une vignette;a panel;;1.0;mot regulier
carburant;fuel;;1.0;mot regulier
se faire faire des mèches;to have highlights done (hair);;1.0;mot regulier
convaincant;persuasive;;1.0;mot regulier
la carrosserie;body (car);;1.0;mot regulier
la cage à poules;the climbing frame;;1.0;mot regulier
l'inclinaison;the tilt;;1.0;mot regulier
empêcher;to prevent;;1.0;mot regulier
J'adore collectionner les coquillages.;I like to collect seashells.;;1.0;mot regulier
se cailler les miches;to freeze one's buttocks off (fam.);;1.0;mot regulier
cuire au four;to bake;;1.0;mot regulier
le quotidien;the daily paper;;1.0;mot regulier
le centimètre;the centimetre;;1.0;mot regulier
le passage surélevé;the overpass;;1.0;mot regulier
la pince à épiler;the tweezers;;1.0;mot regulier
Convenir à [quelqu'un] de faire [quelque chose];To suit [someone] to do [something];;1.0;mot regulier
reconnaissante;grateful (f);;1.0;mot regulier
l'antiquité;the antique;;1.0;mot regulier
le zèbre;the zebra;;1.0;mot regulier
indispensable;essential;;1.0;mot regulier
un onglet;a tab;;1.0;mot regulier
une coutume;a custom;;1.0;mot regulier
malvoyant;visually impaired (m);;1.0;mot regulier
l'école maternelle;the nursery school;;1.0;mot regulier
mai;May;;1.0;mot regulier
le pou;the louse;;1.0;mot regulier
débarquer;to disembark / to land;;1.0;mot regulier
le Faucon Millénium;the Millennium Falcon;;1.0;mot regulier
malentendu;misunderstanding;;1.0;mot regulier
vingt-sept;twenty-seven;;1.0;mot regulier
L'Union monétaire facilite la mobilité à l'intérieur de l'UE.;The Monetary Union eases mobility within the EU.;;1.0;mot regulier
un symptôme;a symptom;;1.0;mot regulier
la Bulgarie;Bulgaria;;1.0;mot regulier
créé par les utilisateurs;user-generated;;1.0;mot regulier
une manifestation;a demonstration;;1.0;mot regulier
Le carton rouge est synonyme d'expulsion.;The red card means a sending off.;;1.0;mot regulier
le voile;veil;;1.0;mot regulier
Le bulletin de vote a été déclaré nul.;The ballot paper was declared invalid.;;1.0;mot regulier
le traître;the traitor (masc.);;1.0;mot regulier
le rabbin;the rabbi;;1.0;mot regulier
la croisière;the cruise;;1.0;mot regulier
faire un tonneau;to roll over (car);;1.0;mot regulier
le maillot à pois;the polka dot jersey;;1.0;mot regulier
la vétérinaire;the vet (fem.);;1.0;mot regulier
le jardin ouvrier;the allotment;;1.0;mot regulier
la nausée matinale;the morning sickness;;1.0;mot regulier
le courrier indésirable;spam;;1.0;mot regulier
l'acompte;the deposit;;1.0;mot regulier
la tisane;herbal tea;;1.0;mot regulier
une faute d'orthographe;a misspelling;;1.0;mot regulier
dégrafer;to undo, to unfasten;;1.0;mot regulier
maceration;maceration;;1.0;mot regulier
la poupée;the doll;;1.0;mot regulier
Les entreprises auxquelles j'ai écrit ne répondent pas.;The companies to which I wrote are not responding.;;1.0;mot regulier
le poème;the poem;;1.0;mot regulier
le conseiller d'orientation;the career counsellor (masc.);;1.0;mot regulier
déroutant;confusing;;1.0;mot regulier
le ris de veau;sweetbread;;1.0;mot regulier
l'isoloir;the polling booth;;1.0;mot regulier
sexiste;sexist;;1.0;mot regulier
Mes problèmes sont pires que les tiens.;My problems are worse than yours.;;1.0;mot regulier
Mon frère lit moins que moi.;My brother reads less than me.;;1.0;mot regulier
un poussin;a chick;;1.0;mot regulier
déclarer sa flamme à [quelqu'un];to declare one's love to [someone];;1.0;mot regulier
la flûte traversière;flute;;1.0;mot regulier
un squelette;a skeleton;;1.0;mot regulier
une quinzaine de livres;about fifteen books;;1.0;mot regulier
le cadre;the frame;;1.0;mot regulier
le spectateur;the spectator;;1.0;mot regulier
la commode;the chest of drawers;;1.0;mot regulier
assorti;matching;;1.0;mot regulier
la luge;the sledge;;1.0;mot regulier
Demain, nous devons faire un exposé ensemble.;Tomorrow, we have to give a presentation together.;;1.0;mot regulier
la cousine;cousin (f);;1.0;mot regulier
l'étiquette à bagages;the luggage tag;;1.0;mot regulier
draguer;to chat up;;1.0;mot regulier
l'aller;outward journey;;1.0;mot regulier
déplacer vers;move to;;1.0;mot regulier
le clou de girofle;the clove;;1.0;mot regulier
Aïe, j'ai une ampoule au pied !;Ow! I have a blister on my foot!;;1.0;mot regulier
un texte à trous;"a """"""""fill in the blanks"""""""" text";;1.0;mot regulier
Les passagers sont en train d'embarquer.;The passengers are going on board.;;1.0;mot regulier
les précipitations;the rainfall;;1.0;mot regulier
des mèches;highlights;;1.0;mot regulier
le pouf;the beanbag;;1.0;mot regulier
enregistrer;to store;;1.0;mot regulier
jeudi;Thursday;;1.0;mot regulier
une militante;an activist (f);;1.0;mot regulier
la toundra;the tundra;;1.0;mot regulier
Voulez-vous votre steak saignant ou à point?;Would you like your steak rare or medium?;;1.0;mot regulier
Tu ne t'intéresses pas à la boxe ?;Aren't you interested in boxing?;;1.0;mot regulier
le porte-vélo;the bike rack;;1.0;mot regulier
la comptabilité;the accounts;;1.0;mot regulier
Les nouvelles salles de bains sont géniales. (nouvel);The new bathrooms are great.;;1.0;mot regulier
les sciences humaines;social sciences;;1.0;mot regulier
le cinéma;the cinema;;1.0;mot regulier
le gigot;the leg;;1.0;mot regulier
Le Réveil de la Force;The Force Awakens;;1.0;mot regulier
Nous rendons les clés de l'appartement demain. (rendre);We're giving back the keys to the flat tomorrow.;;1.0;mot regulier
les moufles;the mittens;;1.0;mot regulier
soudain;suddenly;;1.0;mot regulier
perplexe;puzzled;;1.0;mot regulier
un attentat;a terrorist attack;;1.0;mot regulier
le Vif d'Or;Golden Snitch;;1.0;mot regulier
déraper;to skid;;1.0;mot regulier
déconstruire;to deconstruct;;1.0;mot regulier
Surtout;especially;;1.0;mot regulier
la langue;tongue;;1.0;mot regulier
le miroir;the mirror;;1.0;mot regulier
Je n'ai rien à me mettre.;I have nothing to wear.;;1.0;mot regulier
les secours;the emergency services;;1.0;mot regulier
Manquer de [quelque chose];To lack [something];;1.0;mot regulier
Recommander à [quelqu'un] de [faire] quelque chose;To recommend that [someone do] something;;1.0;mot regulier
le reggae;the reggae;;1.0;mot regulier
l'écharde;the splinter;;1.0;mot regulier
Se méfier de [quelqu'un/quelque chose];To mistrust [someone/something];;1.0;mot regulier
le coca light;diet coke;;1.0;mot regulier
le pourboire;the tip;;1.0;mot regulier
une trottinette;a scooter (child);;1.0;mot regulier
le mouvement populaire;the grassroots movement;;1.0;mot regulier
une trousse de toilette;a toiletry bag / wash bag;;1.0;mot regulier
le couple;the couple;;1.0;mot regulier
confus;confusing;;1.0;mot regulier
J'étais sûr que tu réussirais l'examen.;I was sure you would pass the exam.;;1.0;mot regulier
Elle n'a pas le sens du rythme.;She doesn't have a feeling for rhythm.;;1.0;mot regulier
la rubrique culturelle;the feature pages;;1.0;mot regulier
rincer;to rinse;;1.0;mot regulier
une troupe;a company (dance);;1.0;mot regulier
Je m'entends bien avec mes camarades d'études.;I get along well with my fellow students.;;1.0;mot regulier
une trousse de maquillage;a vanity case;;1.0;mot regulier
la voie;the track;;1.0;mot regulier
le dos;the back;;1.0;mot regulier
le syndicat d'initiative;the tourist office;;1.0;mot regulier
la fougère;the fern;;1.0;mot regulier
des mocassins;moccasins;;1.0;mot regulier
vanter;to brag;;1.0;mot regulier
la guichetière;the cashier (fem.);;1.0;mot regulier
Vous pourriez me prêter des draps ?;Could you lend me some bed linen?;;1.0;mot regulier
la constitution;constitution;;1.0;mot regulier
périssable;perishable;;1.0;mot regulier
la saison;the series;;1.0;mot regulier
l'abstention;abstention;;1.0;mot regulier
un infirmier;a nurse (m);;1.0;mot regulier
disponible;available;;1.0;mot regulier
Cul sec !;Bottoms up!;;1.0;mot regulier
le porte-monnaie;the purse;;1.0;mot regulier
combien;how many;;1.0;mot regulier
détartrer;to descale;;1.0;mot regulier
se blesser;to injure oneself;;1.0;mot regulier
l'arrière saison;late autumn/late fall;;1.0;mot regulier
l'ancre;the anchor;;1.0;mot regulier
le routeur;the router;;1.0;mot regulier
panure;breading;;1.0;mot regulier
Je fais mon déguisement moi-même.;I make my own costume.;;1.0;mot regulier
des arrondissements bruyants (bruyant);noisy districts (masc.);;1.0;mot regulier
l'éducation;the upbringing;;1.0;mot regulier
bleue;blue (fem);;1.0;mot regulier
Qu'en pensez-vous ?;What do you think about it?;;1.0;mot regulier
le comprimé contre la douleur;the painkiller;;1.0;mot regulier
les cotons-tiges;cotton buds / Q-tips;;1.0;mot regulier
convivial;pleasant, enjoyable;;1.0;mot regulier
le jardin;garden;;1.0;mot regulier
une cuisse;a thigh;;1.0;mot regulier
la Lettonie;Latvia;;1.0;mot regulier
le carrosse en citrouille;the pumpkin carriage;;1.0;mot regulier
le passage souterrain;the underpass;;1.0;mot regulier
deux cents grammes;two hundred grammes;;1.0;mot regulier
un contre-la-montre;a time trial;;1.0;mot regulier
